Date,FajrStart,FajrJamaat,Sunrise,Zawal,DhurStart,DhurJamaat,AsrStart,AsrJamaat,Maghrib,IshaStart,IshaJamaat
1,5:25,05:45,6:41,12:35,1:13,01:30 / 2:15,5:38,6:15,7:45,9:00,09:30
2,5:22,5:45,6:39,12:34,1:13,01:30 / 2:15,5:39,6:15,7:47,9:02,09:30
3,5:19,5:45,6:37,12:33,1:12,01:30 / 2:15,5:40,6:15,7:49,9:03,09:30
4,5:17,5:45,6:34,12:33,1:12,01:30 / 2:15,5:42,6:15,7:50,9:05,09:30
5,5:14,05:45,6:32,12:33,1:12,01:30 / 2:15,5:43,6:15,7:52,9:07,09:30
6,5:12,5:45,6:30,12:33,1:12,01:30 / 2:15,5:44,6:15,7:54,9:09,09:30
7,5:09,05:45,6:27,12:32,1:11,01:30 / 2:15,5:45,6:15,7:56,9:10,09:30
8,5:06,5:45,6:25,12:31,1:11,01:30 / 2:15,5:46,6:15,7:57,9:12,09:30
9,5:04,05:45,6:23,12:31,1:11,01:30 / 2:15,5:48,6:15,7:59,9:14,09:30
10,5:01,5:45,6:21,12:31,1:11,01:30 / 2:15,5:49,6:15,8:01,9:16,09:30
11,4:58,5:30,6:18,12:30,1:10,01:30 / 2:15,5:50,6:15,8:03,9:17,9:45
12,4:56,5:30,6:16,12:30,1:10,01:30 / 2:15,5:51,6:15,8:04,9:19,9:45
13,4:53,05:30,6:14,12:29,1:10,01:30 / 2:15,5:53,6:15,8:06,9:21,9:45
14,4:50,5:30,6:12,12:29,1:10,01:30 / 2:15,5:54,6:15,8:08,9:23,9:45
15,4:48,05:30,6:09,12:28,1:09,01:30 / 2:15,5:55,6:15,8:10,9:24,9:45
16,4:45,5:30,6:07,12:28,1:09,01:30 / 2:15,5:56,6:15,8:11,9:26,9:45
17,4:42,05:30,6:05,12:27,1:09,01:30 / 2:15,5:57,6:15,8:13,9:28,9:45
18,4:40,5:15,6:03,12:27,1:09,01:30 / 2:15,5:58,6:15,8:15,9:30,10:00
19,4:37,05:15,6:00,12:26,1:08,01:30 / 2:15,6:00,6:15,8:17,9:31,10:00
20,4:34,05:15,5:58,12:26,1:08,01:30 / 2:15,6:01,6:15,8:18,9:33,10:00
21,4:32,05:15,5:56,12:26,1:08,01:30 / 2:15,6:02,6:15,8:20,9:35,10:00
22,4:29,05:15,5:54,12:25,1:08,01:30 / 2:15,6:03,6:15,8:22,9:37,10:00
23,4:26,05:15,5:52,12:24,1:07,01:30 / 2:15,6:04,6:15,8:24,9:38,10:00
24,4:23,05:15,5:50,12:24,1:07,01:30 / 2:15,6:05,6:15,8:25,9:40,10:00
25,4:21,5:00,5:48,12:24,1:07,01:30 / 2:15,6:06,6:45,8:27,9:42,10:15
26,4:18,05:00,5:46,12:23,1:07,01:30 / 2:15,6:07,6:45,8:29,9:44,10:15
27,4:15,05:00,5:44,12:22,1:07,01:30 / 2:15,6:08,6:45,8:30,9:45,10:15
28,4:13,05:00,5:42,12:22,1:07,01:30 / 2:15,6:10,6:45,8:32,9:47,10:15
29,4:10,05:00,5:40,12:22,1:07,01:30 / 2:15,6:11,6:45,8:34,9:49,10:15